seed,parameter_name,parameter_value,matrix_name,frob_norm
6,K,60,Uf_1,0.42922425612569515
6,K,70,U,0.3250348842320348
6,K,70,Uf_0,0.646792602316871
6,K,70,Uf_1,0.3304448748980167
6,K,80,U,0.29512366859181666
6,K,80,Uf_0,0.584144528223204
6,K,80,Uf_1,0.3106875248106019
6,K,90,U,0.2862782687677089
6,K,90,Uf_0,0.4749777138363158
6,K,90,Uf_1,0.3079201906489574
6,K,100,U,0.2415934405850811
6,K,100,Uf_0,0.40998475675346174
6,K,100,Uf_1,0.26641083707755575
7,K,10,U,1.4909684822158866
7,K,10,Uf_0,1.7027145704943316
7,K,10,Uf_1,1.9640447412420137
7,K,20,U,0.5671923634708416
7,K,20,Uf_0,0.9063215473031159
7,K,20,Uf_1,0.6325667182214274
7,K,30,U,0.47212122258958233
7,K,30,Uf_0,0.8115238040237938
7,K,30,Uf_1,0.5000400471794838
7,K,40,U,0.38014397336450995
7,K,40,Uf_0,0.6584046724916329
7,K,40,Uf_1,0.3788817694728619
7,K,50,U,0.3547175489345892
7,K,50,Uf_0,0.6737130842602392
7,K,50,Uf_1,0.3494650760938503
7,K,60,U,0.40831580813464213
7,K,60,Uf_0,0.6517975456823113
7,K,60,Uf_1,0.42353250846285345
7,K,70,U,0.3251865182446775
7,K,70,Uf_0,0.6466978347285526
7,K,70,Uf_1,0.33087667157551576
7,K,80,U,0.2960810442398023
7,K,80,Uf_0,0.5839784483943081
7,K,80,Uf_1,0.31268726269708796
7,K,90,U,0.2860702042497956
7,K,90,Uf_0,0.4749843260864794
7,K,90,Uf_1,0.3076731777176619
7,K,100,U,0.24177598962714184
7,K,100,Uf_0,0.4098969154840862
7,K,100,Uf_1,0.26653345457882577
